,fat
id,0.16800956512396586
_1,0.40211648084235646
_2,0.4013348992411574
_3,0.40064805319738045
_4,0.4000634307430016
_5,0.3996148046387466
_6,0.39934240094235224
_7,0.3992824212315266
_8,0.39945976609253686
_9,0.39988265493119285
_10,0.40056684499408807
_11,0.4014903688774413
_12,0.4027098172689071
_13,0.4042951117862106
_14,0.4063243355880346
_15,0.40884259051780775
_16,0.4118396830100986
_17,0.41528180135006526
_18,0.4192055393398897
_19,0.4236107128712292
_20,0.42841702894773703
_21,0.4334163078175578
_22,0.43826828348097596
_23,0.44265635516420243
_24,0.4464353955059305
_25,0.4497141462956592
_26,0.45284658182312465
_27,0.45642497329954357
_28,0.46105078263018107
_29,0.46705867209569113
_30,0.474501814586553
_31,0.4830123745940487
_32,0.4919296304866757
_33,0.5005714328143663
_34,0.5085435023369926
_35,0.5158949335951694
_36,0.5229796117543245
_37,0.5300399041795051
_38,0.5367951265342799
_39,0.5425596286860023
_40,0.546434342491979
_41,0.5474764892131266
_42,0.544889839030825
_43,0.5383058878259571
_44,0.5279826471599639
_45,0.5148600938243493
_46,0.5004288370908833
_47,0.4863553198761258
_48,0.474166193121936
_49,0.46447978749573526
_50,0.45738628828456035
_51,0.4526636695793443
_52,0.4499144408028098
_53,0.44868741518774874
_54,0.44852320316794186
_55,0.4489828855522211
_56,0.4497135750659777
_57,0.45044009461808693
_58,0.4510624931541875
_59,0.4514979058765514
_60,0.45183003014973955
_61,0.4521559823887321
_62,0.4524953480510311
_63,0.45293653785606747
_64,0.4534739646388549
_65,0.45409998255508116
_66,0.45480656730873137
_67,0.45555743274650207
_68,0.456444064968047
_69,0.45752219072105943
_70,0.4588399587689295
_71,0.4603638553214929
_72,0.4620934659311971
_73,0.4640769119782588
_74,0.46629106173200313
_75,0.46863805452634266
_76,0.47108044408538136
_77,0.4736857114015009
_78,0.47650320594753387
_79,0.47959343713307123
_80,0.48303044332975253
_81,0.4867371821620576
_82,0.4905804873916393
_83,0.49441113981781837
_84,0.49805415898565525
_85,0.5013247060712764
_86,0.5040563563130773
_87,0.5062751004808932
_88,0.5082067030015898
_89,0.51015747281492
_90,0.5123657008334901
_91,0.5149019125279208
_92,0.5176481982175797
_93,0.520383404609638
_94,0.5229147803850571
_95,0.5250884995393466
_96,0.526791445261561
_97,0.5278555667123482
_98,0.5281403387125226
_99,0.5276197958053305
_100,0.5264348705973259
principal_component_1,0.4779335909782639
principal_component_2,-0.14047002385556595
principal_component_3,-0.583167043260118
principal_component_4,-0.5133535608094137
principal_component_5,0.20908664126958124
principal_component_6,0.09813235007088578
principal_component_7,-0.11547350890636195
principal_component_8,0.030622984063413253
principal_component_9,-0.1253920068625016
principal_component_10,-0.07090070557771903
principal_component_11,-0.07055086571567407
principal_component_12,0.015435252295048671
principal_component_13,-0.19567129554734905
principal_component_14,-0.41471332533139776
principal_component_15,-0.45120309872426884
principal_component_16,-0.4532928923729425
principal_component_17,-0.39364766502214976
principal_component_18,0.34164732895814454
principal_component_19,-0.4149459456690884
principal_component_20,0.4728481368538558
principal_component_21,0.47769677437496727
principal_component_22,0.4778750978547962
moisture,-0.9886664382220562
fat,1.0
protein,-0.8617170129334482
43_50,0.8658941996994453
_43_smooth,0.5371092605450484
_50_smooth,0.458209792940815
43_50_ratio,0.8863256141873441
43_50_smooth,0.8578235378780327
